Major,Minor,Patch,Release,x,y
3,0,18,2-Jan-13,1,30.18
3,0,19,8-Jan-13,2,30.19
3,0,20,28-Jan-13,5,30.2
3,1,9,2-Jan-13,1,31.09
3,1,10,8-Jan-13,2,31.1
3,1,11,11-Feb-13,7,31.11
3,1,12,18-Mar-13,12,31.12
3,2,10,2-Jan-13,1,32.1
3,2,11,8-Jan-13,2,32.11
3,2,12,11-Feb-13,7,32.12
3,2,13,18-Mar-13,12,32.13
4,0,0,25-Jun-13,26,40
3,2,14,23-Jul-13,30,32.14
4,0,1,1-Nov-13,44,40.01
3,2,17,18-Feb-14,8,32.17
4,0,3,18-Feb-14,8,40.03
4,0,4,14-Mar-14,11,40.04
4,0,5,5-May-14,19,40.05
3,2,18,6-May-14,19,32.18
4,1,1,6-May-14,19,41.01
4,0,6,26-Jun-14,26,40.06
4,1,2,26-Jun-14,26,41.02
3,2,19,2-Jul-14,27,32.19
4,0,7,2-Jul-14,27,40.07
4,0,8,2-Jul-14,27,40.08
4,1,3,2-Jul-14,27,41.03
4,1,4,2-Jul-14,27,41.04
4,0,9,18-Aug-14,34,40.09
4,1,5,18-Aug-14,34,41.05
4,0,10,12-Sep-14,37,40.1
4,1,6,12-Sep-14,37,41.06
3,2,15,16-Oct-14,42,32.15
3,2,20,30-Oct-14,44,32.2
3,2,21,17-Nov-14,47,32.21
4,1,8,17-Nov-14,47,41.08
4,0,13,6-Jan-15,2,40.13
4,1,9,6-Jan-15,2,41.09
4,1,10,19-Mar-15,12,41.1
4,2,1,19-Mar-15,12,42.01
